harder | negative: 0.000030
conference | positive: 0.000303
ours | positive: 0.000087
spicy | truthful: 0.000017
hires | truthful: 0.000017
faced | truthful: 0.000052
exited | truthful: 0.000052
38day | negative: 0.000045
18 | negative: 0.000045
factor | deceptive: 0.000036
gone | deceptive: 0.000109
knock | truthful: 0.000035
roomsleeping | truthful: 0.000035
satisfactory | negative: 0.000045
gallery | negative: 0.000015
yesthe | negative: 0.000045
banging | truthful: 0.000017
stellar | truthful: 0.000035
luxurylevel | deceptive: 0.000036
impeccable | deceptive: 0.000109
tip | deceptive: 0.000054
coffeepot | deceptive: 0.000036
careys | deceptive: 0.000036
harry | positive: 0.000065
doormen | positive: 0.000260
siren | deceptive: 0.000018
surpassed | truthful: 0.000035
getnot | negative: 0.000030
thats | truthful: 0.000331
guestroom | deceptive: 0.000036
chihuahua | negative: 0.000015
giving | truthful: 0.000105
paper | negative: 0.000226
agreement | deceptive: 0.000018
pets | truthful: 0.000035
soldiers | negative: 0.000015
tux | negative: 0.000030
300pm | negative: 0.000015
hampton | deceptive: 0.000036
trusted | positive: 0.000022
sadly | deceptive: 0.000091
12 | truthful: 0.000157
wheres | deceptive: 0.000036
separately | positive: 0.000022
framed | positive: 0.000022
glamour | deceptive: 0.000054
college | positive: 0.000065
passport | deceptive: 0.000018
veneer | deceptive: 0.000036
therei | positive: 0.000022
classydecent | positive: 0.000043
end | negative: 0.000422
luster | positive: 0.000022
twins | positive: 0.000043
skyline | positive: 0.000216
useful | negative: 0.000030
dedicated | deceptive: 0.000036
jordan | truthful: 0.000035
days | positive: 0.000692
distances | positive: 0.000022
tubs | negative: 0.000030
rented | truthful: 0.000017
2008 | truthful: 0.000070
genuinely | positive: 0.000065
detail | deceptive: 0.000127
secure | truthful: 0.000070
anyways | positive: 0.000022
avenuetheres | positive: 0.000043
soho | positive: 0.000022
blamed | deceptive: 0.000036
experienc | truthful: 0.000017
st | deceptive: 0.000018
wonderfull | positive: 0.000043
aforementioned | negative: 0.000030
whether | deceptive: 0.000163
alludes | truthful: 0.000017
sync | positive: 0.000022
showerheads | negative: 0.000030
eight | truthful: 0.000035
grain | positive: 0.000043
students | truthful: 0.000035
cherry | positive: 0.000022
inedible | positive: 0.000022
uncomfortable | negative: 0.000362
guy | truthful: 0.000174
approx | negative: 0.000030
proper | deceptive: 0.000036
serving | negative: 0.000045
won | deceptive: 0.000036
drapes | deceptive: 0.000036
ive | deceptive: 0.000599
turned | truthful: 0.000105
mansions | truthful: 0.000052
4200 | positive: 0.000022
consigned | deceptive: 0.000018
headquarters | deceptive: 0.000018
facility | negative: 0.000136
5days | deceptive: 0.000018
circumstances | deceptive: 0.000018
youngershe | positive: 0.000043
adjoining | positive: 0.000087
radio | deceptive: 0.000054
dayone | truthful: 0.000035
fascinating | positive: 0.000022
risk | truthful: 0.000052
siren | positive: 0.000043
innovation | positive: 0.000043
sleepthe | truthful: 0.000035
awake | truthful: 0.000035
european | deceptive: 0.000036
atleast | negative: 0.000030
plugs | deceptive: 0.000018
pleasantly | negative: 0.000060
inconstant | deceptive: 0.000018
inconvenience | positive: 0.000022
tips | truthful: 0.000017
cloths | deceptive: 0.000036
dissatisfation | truthful: 0.000035
insure | positive: 0.000022
knowledge | negative: 0.000015
shooting | positive: 0.000022
rented | deceptive: 0.000054
ok | positive: 0.000087
recommedations | deceptive: 0.000036
approx | truthful: 0.000035
skin | truthful: 0.000052
wellington | positive: 0.000043
additionally | negative: 0.000075
informal | negative: 0.000030
overlooks | truthful: 0.000035
trump | truthful: 0.000070
advisor | negative: 0.000030
spa | negative: 0.000226
priceline | negative: 0.000196
spare | positive: 0.000022
apologies | deceptive: 0.000073
upward | negative: 0.000030
waitress | negative: 0.000060
reach | negative: 0.000106
underwhelming | truthful: 0.000035
relatively | truthful: 0.000087
approachable | truthful: 0.000017
excessive | positive: 0.000022
appreciate | negative: 0.000060
sandy | negative: 0.000030
adler | negative: 0.000015
fox | truthful: 0.000035
alarmed | negative: 0.000030
cultured | positive: 0.000043
attractive | positive: 0.000087
foul | negative: 0.000060
beer | negative: 0.000136
boasting | positive: 0.000043
myspa | deceptive: 0.000036
chicago | deceptive: 0.011209
steep | truthful: 0.000035
catered | truthful: 0.000052
thirty | negative: 0.000030
tangled | truthful: 0.000035
1pm | deceptive: 0.000018
remotely | negative: 0.000030
quickly | negative: 0.000151
correct | truthful: 0.000157
row | negative: 0.000030
serves | positive: 0.000130
temperature | negative: 0.000181
appliances | positive: 0.000043
marinated | positive: 0.000043
ever | truthful: 0.000680
detours | truthful: 0.000017
aroufn | positive: 0.000043
muffled | deceptive: 0.000054
blemishes | deceptive: 0.000036
banking | negative: 0.000030
burned | deceptive: 0.000054
eh | negative: 0.000030
adding | truthful: 0.000052
acknowledge | positive: 0.000022
tang | truthful: 0.000017
reservationist | negative: 0.000030
200person | truthful: 0.000035
therei | deceptive: 0.000018
ie | truthful: 0.000070
receive | deceptive: 0.000091
weeknights | deceptive: 0.000018
24th | deceptive: 0.000018
understanding | positive: 0.000043
priciest | negative: 0.000015
focuses | deceptive: 0.000036
owned | truthful: 0.000035
skyrise | positive: 0.000043
moved | deceptive: 0.000218
450 | truthful: 0.000070
allergyfree | truthful: 0.000017
fully | positive: 0.000151
chuckled | negative: 0.000030
happen | positive: 0.000043
drawback | negative: 0.000030
screwed | deceptive: 0.000018
flushing | deceptive: 0.000036
accommodated | positive: 0.000022
renovate | positive: 0.000022
inwindow | truthful: 0.000017
atmosphere | positive: 0.000627
reimbursed | positive: 0.000022
yummooverall | truthful: 0.000035
freshen | positive: 0.000022
22 | truthful: 0.000052
requesting | deceptive: 0.000054
consisted | negative: 0.000060
damage | deceptive: 0.000036
toni | negative: 0.000045
stuff | truthful: 0.000087
surprises | truthful: 0.000017
waived | negative: 0.000015
trolleyed | truthful: 0.000035
work | deceptive: 0.001143
coldcold | deceptive: 0.000018
picking | deceptive: 0.000054
crackling | truthful: 0.000035
toni | truthful: 0.000052
browse | deceptive: 0.000036
ensuring | positive: 0.000043
waterproof | positive: 0.000043
picasso | truthful: 0.000035
pop | positive: 0.000022
digital | negative: 0.000030
folks | truthful: 0.000087
deal | truthful: 0.000470
popularity | negative: 0.000030
slower | negative: 0.000015
professional | positive: 0.000454
searched | truthful: 0.000035
longer | truthful: 0.000157
runny | negative: 0.000030
omelettes | positive: 0.000022
sandwich | truthful: 0.000070
energy | deceptive: 0.000018
wrote | negative: 0.000106
concerned | positive: 0.000065
steaks | truthful: 0.000017
perry | negative: 0.000030
barely | truthful: 0.000122
interrupted | deceptive: 0.000036
prompted | positive: 0.000043
speak | deceptive: 0.000109
postconstruction | truthful: 0.000035
headache | deceptive: 0.000054
challenged | positive: 0.000022
strewn | deceptive: 0.000054
overwhelming | negative: 0.000045
laughing | truthful: 0.000017
sparkled | truthful: 0.000035
ability | negative: 0.000045
audio | positive: 0.000022
pnt | truthful: 0.000035
gizillion | truthful: 0.000035
church | negative: 0.000045
cents | positive: 0.000022
pointers | truthful: 0.000017
mansions | positive: 0.000065
750 | truthful: 0.000052
hassle | deceptive: 0.000073
unattended | negative: 0.000030
drake | deceptive: 0.000018
paired | positive: 0.000022
thunderstorm | negative: 0.000015
balmy | truthful: 0.000035
fires | negative: 0.000030
obnoxious | negative: 0.000030
reconfirming | deceptive: 0.000018
slimy | deceptive: 0.000054
awaiting | truthful: 0.000017
air | positive: 0.000195
bbs | negative: 0.000030
choices | truthful: 0.000105
sparked | truthful: 0.000017
aother | deceptive: 0.000018
slam | positive: 0.000022
badly | negative: 0.000045
worth | truthful: 0.000540
yellowed | positive: 0.000022
neighbours | truthful: 0.000052
adamant | truthful: 0.000017
valued | deceptive: 0.000054
lifeless | positive: 0.000022
7th | negative: 0.000060
option | negative: 0.000181
district | truthful: 0.000070
thoroughly | truthful: 0.000087
enjoyable | positive: 0.000303
ky | negative: 0.000030
seemed | positive: 0.000303
aside | truthful: 0.000035
hors | positive: 0.000087
experince | positive: 0.000043
operated | deceptive: 0.000018
feeling | deceptive: 0.000254
worker | negative: 0.000075
la | truthful: 0.000087
skirt | truthful: 0.000035
toothpaste | deceptive: 0.000054
directed | truthful: 0.000070
attractionsshoppingrestaurants | positive: 0.000043
training | negative: 0.000090
remodeling | deceptive: 0.000036
checking | positive: 0.000195
applicable | negative: 0.000015
72hour | positive: 0.000022
parkmillenium | truthful: 0.000035
priviledges | positive: 0.000022
goodpeople | negative: 0.000015
theyd | positive: 0.000022
pleasureable | negative: 0.000015
vegetarian | positive: 0.000043
spoil | truthful: 0.000035
barman | deceptive: 0.000018
yeah | negative: 0.000090
action | positive: 0.000108
infront | negative: 0.000030
bowed | truthful: 0.000035
osheas | deceptive: 0.000054
bandaides | deceptive: 0.000018
34900 | deceptive: 0.000018
matches | truthful: 0.000052
considerate | truthful: 0.000017
d | positive: 0.000022
resident | negative: 0.000030
valeted | negative: 0.000030
considered | positive: 0.000065
presentation | deceptive: 0.000036
properly | negative: 0.000136
situated | deceptive: 0.000054
pie | truthful: 0.000035
foodcourt | negative: 0.000015
crowdtheres | negative: 0.000015
list | truthful: 0.000105
treating | truthful: 0.000017
notably | negative: 0.000030
300pm | deceptive: 0.000018
dresser | positive: 0.000043
addict | positive: 0.000043
aother | negative: 0.000030
shoulders | positive: 0.000022
content | truthful: 0.000017
written | positive: 0.000043
waffle | negative: 0.000015
polite | deceptive: 0.000218
forward | positive: 0.000303
busy | negative: 0.000166
sheets | positive: 0.000173
cleanest | positive: 0.000108
professional | deceptive: 0.000236
awful | negative: 0.000271
face | positive: 0.000108
hungry | deceptive: 0.000091
hardwire | positive: 0.000022
reasonably | negative: 0.000060
physically | truthful: 0.000087
spacious | truthful: 0.000749
chaperones | negative: 0.000030
distance | truthful: 0.000558
decision | positive: 0.000130
awardwinning | negative: 0.000015
brenda | truthful: 0.000017
explaining | truthful: 0.000017
boutique | truthful: 0.000157
andand | truthful: 0.000035
belowaverage | truthful: 0.000035
terrier | truthful: 0.000017
positives | deceptive: 0.000073
becuase | deceptive: 0.000036
overblown | deceptive: 0.000036
mutt | truthful: 0.000017
renovated | positive: 0.000130
earplugs | deceptive: 0.000036
signs | positive: 0.000043
choosing | truthful: 0.000052
rocket | deceptive: 0.000036
vexpensive | negative: 0.000015
world | negative: 0.000181
especially | deceptive: 0.000653
kits | deceptive: 0.000054
painted | truthful: 0.000070
drain | truthful: 0.000087
burgers | deceptive: 0.000054
1760 | positive: 0.000022
anyones | deceptive: 0.000036
unwelcoming | truthful: 0.000035
awayers | deceptive: 0.000018
hopes | negative: 0.000090
2am | truthful: 0.000035
impressing | positive: 0.000022
phenomenal | deceptive: 0.000091
arrive | negative: 0.000136
adopt | truthful: 0.000017
diminished | positive: 0.000022
microwaves | deceptive: 0.000018
freshen | deceptive: 0.000036
alarm | positive: 0.000065
wall | deceptive: 0.000163
catch | truthful: 0.000052
belong | negative: 0.000030
going | deceptive: 0.001016
tend | positive: 0.000043
steamer | positive: 0.000043
smile | deceptive: 0.000091
180nt | truthful: 0.000035
runs | deceptive: 0.000036
copy | negative: 0.000075
sheets | negative: 0.000664
highest | positive: 0.000130
sweetie | negative: 0.000015
affina | truthful: 0.000017
excited | deceptive: 0.000254
messages | positive: 0.000022
sheen | negative: 0.000030
sentences | deceptive: 0.000018
sister | deceptive: 0.000054
tainted | negative: 0.000045
sauce | positive: 0.000022
mahogany | deceptive: 0.000036
hvac | truthful: 0.000052
versed | truthful: 0.000035
closet | positive: 0.000087
liberty | deceptive: 0.000036
hill | negative: 0.000045
accidentally | positive: 0.000022
constitute | negative: 0.000030
food | truthful: 0.000993
texas | deceptive: 0.000018
25th | negative: 0.000015
elegance | truthful: 0.000070
garden | deceptive: 0.000036
straiten | deceptive: 0.000036
posters | deceptive: 0.000018
dry | truthful: 0.000052
minded | positive: 0.000022
westfield | deceptive: 0.000018
mattress | truthful: 0.000105
noises | positive: 0.000022
sheratons | negative: 0.000015
pissed | negative: 0.000030
barefeet | deceptive: 0.000018
welllit | truthful: 0.000017
stank | negative: 0.000030
bath | truthful: 0.000314
specific | positive: 0.000065
cheaply | truthful: 0.000017
steak | negative: 0.000106
walrus | truthful: 0.000017
unwelcome | truthful: 0.000017
cabinet | deceptive: 0.000018
cheaplooking | negative: 0.000030
united | truthful: 0.000035
plush | deceptive: 0.000200
dribble | truthful: 0.000035
storage | positive: 0.000065
decorated | negative: 0.000090
focus | positive: 0.000022
awayit | negative: 0.000015
pushed | truthful: 0.000035
drank | deceptive: 0.000018
multiple | truthful: 0.000122
also | deceptive: 0.002267
opening | negative: 0.000106
surrounding | deceptive: 0.000054
lumpy | truthful: 0.000035
warmer | positive: 0.000065
vague | negative: 0.000030
attempt | deceptive: 0.000073
overnight | negative: 0.000090
designer | deceptive: 0.000073
permits | negative: 0.000015
unusually | truthful: 0.000035
hrh | negative: 0.000090
dots | deceptive: 0.000018
sight | deceptive: 0.000218
beauty | truthful: 0.000017
inflating | negative: 0.000030
bride | deceptive: 0.000018
61 | negative: 0.000030
ton | deceptive: 0.000036
idiot | truthful: 0.000017
outing | positive: 0.000065
eve | truthful: 0.000035
practically | positive: 0.000043
wernt | positive: 0.000022
ta | truthful: 0.000070
contrast | deceptive: 0.000036
requested | truthful: 0.000558
maintain | positive: 0.000043
guitar | negative: 0.000030
deskdesk | deceptive: 0.000018
subpar | truthful: 0.000035
advise | truthful: 0.000052
lennon | negative: 0.000015
irritation | negative: 0.000030
invitinggreat | deceptive: 0.000018
district | positive: 0.000108
letter | positive: 0.000043
fullystocked | deceptive: 0.000054
harry | truthful: 0.000035
interest | negative: 0.000015
downtown | deceptive: 0.001524
furniturestark | deceptive: 0.000018
16 | negative: 0.000045
plumbing | negative: 0.000106
husband | negative: 0.000814
beneath | truthful: 0.000035
stucture | truthful: 0.000035
wheelchair | positive: 0.000065
metallic | positive: 0.000043
swimmers | deceptive: 0.000036
ideal | deceptive: 0.000073
suspect | negative: 0.000030
meter | truthful: 0.000035
informal | deceptive: 0.000036
poolthe | negative: 0.000015
koolaid | truthful: 0.000017
forced | negative: 0.000211
disliked | positive: 0.000022
sparse | negative: 0.000030
eggs | deceptive: 0.000109
superior | deceptive: 0.000145
smoked | positive: 0.000022
meetings | positive: 0.000108
hmm | positive: 0.000043
bar | truthful: 0.001167
discount | deceptive: 0.000163
pet | deceptive: 0.000326
carlton | negative: 0.000060
conditioning | negative: 0.000166
recommedations | truthful: 0.000017
patches | positive: 0.000022
training | deceptive: 0.000091
singles | deceptive: 0.000018
4they | positive: 0.000022
paintings | truthful: 0.000017
bubba | negative: 0.000015
theatre | truthful: 0.000070
normal | truthful: 0.000174
modifications | deceptive: 0.000018
connections | negative: 0.000015
relax | positive: 0.000325
beginning | deceptive: 0.000127
surroundings | negative: 0.000030
understaffed | deceptive: 0.000091
china | truthful: 0.000035
nasty | deceptive: 0.000054
paying | truthful: 0.000174
attributes | truthful: 0.000017
loose | truthful: 0.000035
breath | positive: 0.000087
waiters | positive: 0.000043
inspiring | truthful: 0.000035
identification | truthful: 0.000017
optimistic | negative: 0.000030
deadline | deceptive: 0.000036
marriotts | negative: 0.000030
reply | truthful: 0.000070
changing | negative: 0.000075
marco | deceptive: 0.000018
put | truthful: 0.000558
weighted | negative: 0.000015
finish | truthful: 0.000035
sticky | truthful: 0.000035
purplish | negative: 0.000030
pillowtop | deceptive: 0.000018
many | positive: 0.001038
doingmy | negative: 0.000015
bunny | truthful: 0.000035
mean | truthful: 0.000087
overbearing | negative: 0.000030
imbarrassment | negative: 0.000030
perk | deceptive: 0.000054
permitted | deceptive: 0.000018
completely | negative: 0.000317
wines | positive: 0.000043
blowing | deceptive: 0.000054
desirable | deceptive: 0.000036
bringing | negative: 0.000045
lacking | negative: 0.000211
cosmetic | negative: 0.000030
corridors | truthful: 0.000017
hopeful | negative: 0.000015
comfortably | deceptive: 0.000036
arraingments | positive: 0.000022
actively | deceptive: 0.000018
amount | negative: 0.000317
neither | truthful: 0.000139
lucky | truthful: 0.000087
movie | truthful: 0.000105
procedure | positive: 0.000022
his | deceptive: 0.000345
itll | deceptive: 0.000018
enemies | positive: 0.000022
salty | truthful: 0.000035
seafood | positive: 0.000108
task | negative: 0.000030
vents | truthful: 0.000035
dismayed | negative: 0.000030
detectors | positive: 0.000022
equipment | positive: 0.000108
chamber | truthful: 0.000035
clark | truthful: 0.000017
waaaay | deceptive: 0.000018
omg | deceptive: 0.000036
talking | negative: 0.000271
stylish | positive: 0.000130
cane | positive: 0.000022
convenience | truthful: 0.000017
sky | positive: 0.000065
reccommend | negative: 0.000015
agitate | positive: 0.000022
havent | deceptive: 0.000091
distant | positive: 0.000022
coast | negative: 0.000030
stayit | negative: 0.000015
slamming | negative: 0.000030
intercontinetal | negative: 0.000030
chaperones | deceptive: 0.000036
pot | negative: 0.000090
ranks | positive: 0.000022
allowing | truthful: 0.000087
treatment | negative: 0.000106
heavier | positive: 0.000022
douevres | negative: 0.000015
orders | positive: 0.000087
6th | negative: 0.000060
farthest | positive: 0.000022
town | negative: 0.000271
palmer | negative: 0.000226
accessible | negative: 0.000075
counter | negative: 0.000256
succession | truthful: 0.000035
400something | negative: 0.000030
tier | truthful: 0.000035
throw | positive: 0.000022
spree | deceptive: 0.000036
scary | truthful: 0.000035
eve | positive: 0.000043
underwent | positive: 0.000022
terible | truthful: 0.000017
deals | deceptive: 0.000036
grateful | positive: 0.000022
ritzy | deceptive: 0.000054
laundry | truthful: 0.000035
stadium | negative: 0.000015
wallet | positive: 0.000022
merit | positive: 0.000043
smokey | truthful: 0.000035
shake | positive: 0.000022
garages | negative: 0.000030
cramp | deceptive: 0.000036
treat | truthful: 0.000105
sunbathing | deceptive: 0.000036
perspective | negative: 0.000015
windowi | truthful: 0.000035
favortie | positive: 0.000043
define | truthful: 0.000017
expressed | negative: 0.000060
wiped | truthful: 0.000017
gimmick | negative: 0.000030
which | truthful: 0.002370
story | deceptive: 0.000036
chouse | truthful: 0.000017
compd | deceptive: 0.000018
standards | deceptive: 0.000091
exterior | deceptive: 0.000054
illusion | negative: 0.000045
3x | negative: 0.000030
panhandlers | negative: 0.000015
greets | deceptive: 0.000036
surfaced | truthful: 0.000035
courtney | positive: 0.000022
surprised | deceptive: 0.000181
hide | deceptive: 0.000054
retrieved | truthful: 0.000017
wad | deceptive: 0.000036
agents | deceptive: 0.000018
spelled | positive: 0.000022
priorities | deceptive: 0.000036
ive | negative: 0.000618
220night | positive: 0.000022
crew | truthful: 0.000052
airport | positive: 0.000216
longer | negative: 0.000196
dent | negative: 0.000045
earning | positive: 0.000022
remnants | positive: 0.000022
yr | negative: 0.000015
customer | deceptive: 0.000816
writte | truthful: 0.000035
kiss | deceptive: 0.000018
surprisingly | deceptive: 0.000054
prices | negative: 0.000347
partner | truthful: 0.000035
complainnext | deceptive: 0.000018
remembered | deceptive: 0.000018
scoot | truthful: 0.000035
aesthetic | deceptive: 0.000054
fares | truthful: 0.000017
megaphones | negative: 0.000030
does | deceptive: 0.000254
sheetsbed | deceptive: 0.000018
andi | deceptive: 0.000018
checkedin | deceptive: 0.000054
boarded | deceptive: 0.000036
cardiofitness | negative: 0.000030
produce | negative: 0.000030
waitress | deceptive: 0.000054
cnetre | negative: 0.000015
treasures | negative: 0.000030
worst | deceptive: 0.000472
returning | truthful: 0.000105
dramatically | negative: 0.000045
being | negative: 0.000754
threat | positive: 0.000022
initially | deceptive: 0.000036
20s | truthful: 0.000035
scratching | negative: 0.000030
53 | deceptive: 0.000036
yellowy | negative: 0.000030
dollar | truthful: 0.000052
millennium | deceptive: 0.000798
panhandling | positive: 0.000022
civilised | deceptive: 0.000018
debris | negative: 0.000030
mon | positive: 0.000043
pevious | truthful: 0.000017
scratched | positive: 0.000022
dimmer | negative: 0.000030
unruly | negative: 0.000030
basics | deceptive: 0.000018
disturb | deceptive: 0.000073
terms | truthful: 0.000105
detailed | deceptive: 0.000018
week | positive: 0.000519
date | deceptive: 0.000091
notch | deceptive: 0.000091
offices | positive: 0.000043
based | positive: 0.000151
system | negative: 0.000241
forefeited | positive: 0.000022
feels | deceptive: 0.000073
cant | positive: 0.000584
oil | truthful: 0.000017
parks | negative: 0.000015
tender | positive: 0.000022
impressive | truthful: 0.000087
refunds | negative: 0.000030
intoxicating | truthful: 0.000017
tired | negative: 0.000332
typelocation | deceptive: 0.000018
jarring | truthful: 0.000035
chocolate | deceptive: 0.000091
course | positive: 0.000130
converted | deceptive: 0.000018
630 | deceptive: 0.000018
hospital | deceptive: 0.000073
flaw | negative: 0.000030
lap | truthful: 0.000052
need | positive: 0.000801
rri | negative: 0.000030
info | negative: 0.000030
sp | positive: 0.000022
pull | truthful: 0.000192
novice | positive: 0.000043
59 | negative: 0.000015
snubery | negative: 0.000030
registration | negative: 0.000075
steer | truthful: 0.000035
1520 | positive: 0.000022
moreover | negative: 0.000030
maintaining | negative: 0.000015
higrise | truthful: 0.000035
tobacco | truthful: 0.000017
discussion | deceptive: 0.000036
grand | truthful: 0.000070
excellently | truthful: 0.000052
closets | positive: 0.000108
newspaper | truthful: 0.000087
mp3 | deceptive: 0.000054
stops | truthful: 0.000157
figuring | negative: 0.000015
human | truthful: 0.000017
temper | positive: 0.000022
therefore | truthful: 0.000070
promised | deceptive: 0.000181
legal | positive: 0.000022
senses | deceptive: 0.000036
7 | negative: 0.000090
dishwasher | deceptive: 0.000018
understand | deceptive: 0.000163
usand | negative: 0.000015
prices | deceptive: 0.000399
hygeine | negative: 0.000030
funny | deceptive: 0.000073
72hour | truthful: 0.000035
talked | positive: 0.000043
lots | deceptive: 0.000145
exaggerated | deceptive: 0.000018
dubbed | negative: 0.000030
conditioner | truthful: 0.000070
survey | deceptive: 0.000018
neiman | negative: 0.000030
too | negative: 0.000995
160 | positive: 0.000022
ruining | positive: 0.000022
hairs | truthful: 0.000052
bathroomno | truthful: 0.000035
ant | deceptive: 0.000018
overly | negative: 0.000030
planner | deceptive: 0.000036
certainly | truthful: 0.000174
mp3 | positive: 0.000022
daytime | deceptive: 0.000036
debris | deceptive: 0.000036
posts | truthful: 0.000052
potpourri | positive: 0.000022
recommendations | negative: 0.000060
lists | negative: 0.000030
scratchy | deceptive: 0.000054
tab | positive: 0.000043
equipted | positive: 0.000043
fifty | positive: 0.000022
walkietalkies | deceptive: 0.000018
belgian | negative: 0.000015
travelled | truthful: 0.000070
earplugs | truthful: 0.000017
insisting | truthful: 0.000017
pier | deceptive: 0.000181
fourth | positive: 0.000022
hotelshe | negative: 0.000030
smelly | positive: 0.000022
stain | deceptive: 0.000127
acting | negative: 0.000030
wastebasket | deceptive: 0.000018
carays | positive: 0.000043
seem | truthful: 0.000244
equipped | truthful: 0.000087
lights | deceptive: 0.000109
respectfully | truthful: 0.000035
creatively | positive: 0.000022
sugar | negative: 0.000045
famous | positive: 0.000065
vanessa | negative: 0.000015
1st | positive: 0.000043
ones | truthful: 0.000139
livid | positive: 0.000022
safe | truthful: 0.000209
mistake | negative: 0.000347
prior | deceptive: 0.000036
stressed | negative: 0.000030
8pm | negative: 0.000045
older | negative: 0.000136
buses | deceptive: 0.000018
yogurt | deceptive: 0.000054
portrait | truthful: 0.000035
threatened | deceptive: 0.000036
coordinate | positive: 0.000043
teams | negative: 0.000015
wayside | deceptive: 0.000018
adding | deceptive: 0.000018
waits | negative: 0.000060
accepting | truthful: 0.000017
sorted | truthful: 0.000017
lakeside | deceptive: 0.000036
stock | negative: 0.000045
1519 | deceptive: 0.000018
lends | positive: 0.000043
intercontinental | deceptive: 0.000544
frontdesk | positive: 0.000065
amalfitini | deceptive: 0.000018
your | negative: 0.001433
adjustment | positive: 0.000022
dragged | positive: 0.000022
telling | positive: 0.000043
rattling | positive: 0.000022
switching | deceptive: 0.000018
bad | deceptive: 0.000725
dry | negative: 0.000090
nonexistent | positive: 0.000022
befitted | negative: 0.000015
decrease | negative: 0.000030
touted | truthful: 0.000017
obtain | deceptive: 0.000018
traditional | positive: 0.000087
blonde | deceptive: 0.000036
shortly | truthful: 0.000070
wake | truthful: 0.000070
brother | deceptive: 0.000018
morning | deceptive: 0.000834
ugh | truthful: 0.000035
holiday | negative: 0.000136
terrified | deceptive: 0.000036
test | truthful: 0.000017
steamer | truthful: 0.000017
red | positive: 0.000087
sofa | deceptive: 0.000036
following | positive: 0.000065
failed | truthful: 0.000087
far | negative: 0.000528
feet | deceptive: 0.000091
gently | negative: 0.000015
pimps | negative: 0.000030
similar | deceptive: 0.000145
purifying | truthful: 0.000017
vacuumed | truthful: 0.000017
surrounding | positive: 0.000043
towers | truthful: 0.000157
gladly | truthful: 0.000035
sounding | positive: 0.000022
spitting | truthful: 0.000035
sprayed | truthful: 0.000017
squealing | deceptive: 0.000036
bill | truthful: 0.000261
laquinta | truthful: 0.000017
handicapped | positive: 0.000043
lavish | truthful: 0.000017
portion | truthful: 0.000052
allows | deceptive: 0.000073
foreign | deceptive: 0.000036
hooking | truthful: 0.000017
welloiled | truthful: 0.000017
clue | truthful: 0.000035
aweinspiring | negative: 0.000015
handling | negative: 0.000030
pad | truthful: 0.000052
afford | positive: 0.000043
godsend | negative: 0.000015
cab | truthful: 0.000523
shine | negative: 0.000015
ward | positive: 0.000022
dribble | negative: 0.000030
431 | positive: 0.000022
paraphanelia | positive: 0.000043
hurrying | negative: 0.000030
necessarily | deceptive: 0.000036
preferential | positive: 0.000043
welcomed | negative: 0.000015
cigar | negative: 0.000030
21 | negative: 0.000030
dancersactors | truthful: 0.000017
pristine | negative: 0.000030
already | positive: 0.000108
line | truthful: 0.000749
likely | deceptive: 0.000054
held | deceptive: 0.000091
server | truthful: 0.000035
wads | deceptive: 0.000018
award | negative: 0.000030
reminder | negative: 0.000045
season | positive: 0.000043
feet | negative: 0.000151
folio | deceptive: 0.000018
mewont | deceptive: 0.000018
hammers | deceptive: 0.000018
fronts | deceptive: 0.000036
managment | truthful: 0.000052
hooray | positive: 0.000043
rotten | negative: 0.000030
come | negative: 0.000633
launching | truthful: 0.000017
regal | negative: 0.000015
35 | negative: 0.000030
sunday | negative: 0.000106
lighter | truthful: 0.000017
requeststhe | negative: 0.000030
strawberriesbut | negative: 0.000015
lengthy | positive: 0.000043
scraps | truthful: 0.000017
heading | positive: 0.000065
hmm | truthful: 0.000017
21st | deceptive: 0.000054
james | deceptive: 0.000435
swimmers | truthful: 0.000017
queen | positive: 0.000195
19th | positive: 0.000022
extra | positive: 0.000411
position | deceptive: 0.000018
emotionally | truthful: 0.000017
unfailingly | negative: 0.000015
choose | positive: 0.000238
arranging | negative: 0.000015
ashamed | negative: 0.000045
scratchy | negative: 0.000030
sony | truthful: 0.000035
occurred | truthful: 0.000052
program | negative: 0.000090
priced | positive: 0.000108
streetside | negative: 0.000030
inattentive | deceptive: 0.000018
pricing | positive: 0.000043
soured | deceptive: 0.000018
backdrop | positive: 0.000022
emblem | deceptive: 0.000018
continues | truthful: 0.000035
recognize | deceptive: 0.000018
chilled | truthful: 0.000052
fare | positive: 0.000130
section | positive: 0.000022
stopped | positive: 0.000065
must | positive: 0.000476
boots | truthful: 0.000017
phony | positive: 0.000022
amalfitinis | positive: 0.000043
drained | deceptive: 0.000018
petals | truthful: 0.000017
potpourri | truthful: 0.000017
snot | negative: 0.000030
marks | truthful: 0.000035
wastebasket | negative: 0.000015
effective | truthful: 0.000035
5pm | negative: 0.000045
rated | negative: 0.000075
valuables | negative: 0.000015
mahogany | positive: 0.000043
minimum | deceptive: 0.000054
making | positive: 0.000411
luggages | deceptive: 0.000018
exclaimed | deceptive: 0.000018
flashes | truthful: 0.000017
science | deceptive: 0.000036
afternoons | positive: 0.000043
symptoms | negative: 0.000030
lollopalooza | truthful: 0.000035
surprising | negative: 0.000045
pushy | positive: 0.000022
swift | truthful: 0.000035
non | truthful: 0.000070
upmost | negative: 0.000015
